ticker,name,delisting_date,reason,acquirer,last_price,notes
YHOO,Yahoo! Inc.,2017-06-19,acquired,Verizon Communications,52.58,"Core operating business acquired by Verizon; remaining assets renamed to Altaba (AABA)."
TWTR,Twitter Inc.,2022-10-28,privatized,Elon Musk (X Corp),54.20,"Acquired and taken private at $54.20 per share."
MON,Monsanto Company,2018-06-07,acquired,Bayer AG,128.00,"Acquired by Bayer AG for $128.00 per share."
CELG,Celgene Corporation,2019-11-20,acquired,Bristol-Myers Squibb,108.24,"Acquired by Bristol-Myers Squibb (BMY) for cash and stock."
DOW,The Dow Chemical Company,2017-09-01,merger,DuPont (DowDuPont),66.65,"Merged with E.I. du Pont de Nemours to form DowDuPont (DWDP)."
ALXN,Alexion Pharmaceuticals Inc.,2021-07-21,acquired,AstraZeneca,182.50,"Acquired by AstraZeneca for cash and ADS shares."
TIF,Tiffany & Co.,2021-01-07,acquired,LVMH Moët Hennessy Louis Vuitton,131.50,"Acquired by LVMH at $131.50 per share."
XLNX,Xilinx Inc.,2022-02-14,acquired,Advanced Micro Devices (AMD),194.92,"All-stock acquisition by AMD (1.7234 AMD shares per XLNX share)."
AGN,Allergan plc,2020-05-08,acquired,AbbVie Inc.,193.20,"Acquired by AbbVie (ABBV) for cash and stock."
WFM,Whole Foods Market Inc.,2017-08-28,acquired,Amazon.com Inc.,41.99,"Acquired by Amazon for $42.00 per share cash."
COL,Rockwell Collins Inc.,2018-11-27,acquired,United Technologies Corp,141.04,"Acquired by UTC and combined into Collins Aerospace."
VAR,Varian Medical Systems Inc.,2021-04-15,acquired,Siemens Healthineers AG,177.50,"All-cash acquisition at $177.50 per share."
FRC,First Republic Bank,2023-05-01,bankruptcy,JPMorgan Chase,3.51,"Seized by FDIC and substantially all assets sold to JPMorgan Chase."
SIVB,SVB Financial Group,2023-03-28,bankruptcy,First Citizens BancShares,106.04,"Closed by California DFPI; FDIC receivership."
BBBY,Bed Bath & Beyond Inc.,2023-05-03,bankruptcy,None,0.07,"Filed Chapter 11 bankruptcy; shares canceled."
